English,Spanish,French,Arabic,Greek,German,Italian,Portuguese,Russian,Chinese,Japanese,Indonesian,Hindi,Bengali
reserved,reservado,réservé,محجوز,Ρεζερβέ,reserviert,prenotato,reservado,сдержанный,预订的,予約済み,disimpan,आरक्षित,সংরক্ষিত
subject,sujeto,sujet,موضوع,θέμα,Thema,soggetto,assunto,предмет,主题,主題,subjek,विषय,বিষয়
between,entre,entre,بين,μεταξύ,zwischen,fra,entre,между,之间,間,di antara,बीच में,মধ্যে
forum,foro,forum,المنتدى,δικαστήριο,Forum,foro,fórum,форум,论坛,フォーラム,forum,मंच,ফোরাম
family,familia,famille,عائلة,οικογένεια,Familie,famiglia,família,семья,家庭,家族,keluarga,परिवार,পরিবার
l,yo,je,ل,μεγάλο,l,l,eu,л,我,私,aku,एल,l
long,largo,long,طويل,μακρύς,lang,lungo,longo,длинный,长的,長さ,panjang,लंबा,দীর্ঘ
based,basado,basé,قائم على,με βάση,basierend,basato,baseado,основанный на,基于,ベースの,berdasarkan,आधारित,ভিত্তিক
w,w,w,ث,w,w,w,c,ш,w,w,w,डब्ल्यू,w
code,código,code,شفرة,κώδικας,Code,codice,código,код,代码,コード,kode,कोड,কোড
show,espectáculo,montrer,يعرض,επίδειξη,zeigen,spettacolo,mostrar,показывать,展示,見せる,menunjukkan,दिखाओ,প্রদর্শন
o,oh,o,س,ο,O,o,ó,о,哦,ああ,Hai,हे,o
even,incluso,même,حتى,ακόμη και,sogar,Anche,até,даже,甚至,平,bahkan,यहां तक ​​की,এমনকি
black,negro,noir,أسود,μαύρος,Schwarz,nero,preto,черный,黑色的,黒,hitam,काला,কালো
check,controlar,vérifier,يفحص,έλεγχος,überprüfen,controllo,verificar,проверять,查看,チェック,memeriksa,जाँच करना,চেক
special,especial,spécial,خاص,ειδικός,besonders,speciale,especial,особенный,特别的,特別,spesial,विशेष,বিশেষ
prices,precios,prix,الأسعار,τιμές,Preise,prezzi,preços,цены,价格,価格,harga,कीमतों,দাম
website,sitio web,site web,موقع إلكتروني,δικτυακός τόπος,Webseite,sito web,site,веб-сайт,网站,Webサイト,situs web,वेबसाइट,ওয়েবসাইট
index,índice,indice,فِهرِس,δείκτης,Index,indice,índice,индекс,指数,索引,indeks,अनुक्रमणिका,সূচক
being,ser,être,كون,ύπαρξη,Sein,essendo,ser,существование,存在,いる,makhluk,प्राणी,হচ্ছে
women,mujer,femmes,نحيف,γυναίκες,Frauen,donne,mulheres,женщины,女性,女性,wanita,औरत,নারী
much,mucho,beaucoup,كثيراً,πολύ,viel,tanto,muito,много,很多,多くの,banyak,अधिकता,অনেক
sign,firmar,signe,لافتة,σημείο,Zeichen,cartello,sinal,знак,符号,サイン,tanda,संकेत,চিহ্ন
file,archivo,déposer,ملف,αρχείο,Datei,file,arquivo,файл,文件,ファイル,mengajukan,फ़ाइल,ফাইল
link,enlace,lien,وصلة,σύνδεσμος,Link,collegamento,link,связь,关联,リンク,link,जोड़ना,লিঙ্ক
open,abierto,ouvrir,يفتح,ανοιχτό,offen,aprire,abrir,открыть,打开,開ける,membuka,खुला,খোলা
today,hoy,aujourd'hui,اليوم,σήμερα,Heute,Oggi,hoje,сегодня,今天,今日,Hari ini,आज,আজ
technology,tecnología,technologie,تكنولوجيا,τεχνολογία,Technologie,tecnologia,tecnologia,технология,技术,テクノロジー,teknologi,तकनीकी,প্রযুক্তি
south,sur,sud,جنوب,νότος,Süden,sud,sul,юг,南,南,selatan,दक्षिण,দক্ষিণ
case,caso,cas,قضية,περίπτωση,Fall,caso,caso,случай,案件,場合,kasus,मामला,মামলা
project,proyecto,projet,مشروع,σχέδιο,Projekt,progetto,projeto,проект,项目,プロジェクト,proyek,परियोजना,প্রকল্প
same,mismo,même,نفس,ίδιο,Dasselbe,Stesso,mesmo,такой же,相同的,同じ,sama,वही,একই
pages,paginas,pages,الصفحات,σελίδες,Seiten,pagine,páginas,страницы,页面,ページ,halaman,पृष्ठों,পৃষ্ঠাগুলি
uk,reino unido,Royaume-Uni,المملكة المتحدة,Ηνωμένο Βασίλειο,Vereinigtes Königreich,Regno Unito,Reino Unido,Великобритания,英国,英国,inggris,यूके,uk
version,versión,version,إصدار,εκδοχή,Version,versione,versão,версия,版本,バージョン,versi,संस्करण,সংস্করণ
section,sección,section,قسم,τμήμα,Abschnitt,sezione,seção,раздел,部分,セクション,bagian,अनुभाग,বিভাগ
own,propio,propre,ملك,ίδιος,eigen,Proprio,ter,собственный,自己的,自分の,memiliki,अपना,নিজস্ব
found,encontró,trouvé,وجد,θεμελιώ,gefunden,trovato,encontrado,найденный,成立,見つかった,ditemukan,मिला,পাওয়া গেছে
sports,deportes,sportif,رياضة,αθλητισμός,Sport,sport,esportes,спорт,运动的,スポーツ,olahraga,खेल,খেলাধুলা
house,casa,maison,منزل,σπίτι,Haus,casa,casa,дом,房子,家,rumah,घर,ঘর
related,relacionado,en rapport,متعلق ب,συγγενεύων,verwandt,imparentato,relacionado,связанный,有关的,関連している,terkait,संबंधित,সম্পর্কিত
security,seguridad,sécurité,حماية,ασφάλεια,Sicherheit,sicurezza,segurança,безопасность,安全,安全,keamanan,सुरक्षा,নিরাপত্তা
find,encontrar,trouver,يجد,εύρημα,finden,Trovare,encontrar,находить,寻找,探す,menemukan,खोजो,খুঁজুন
g,gramo,g,ز,σολ,G,G,g,г,克,g,G,जी,g
county,condado,comté,مقاطعة,κομητεία,County,contea,condado,графство,县,郡,daerah,काउंटी,কাউন্টি
american,americano,Américain,أمريكي,Αμερικανός,amerikanisch,americano,americano,американский,美国人,アメリカ人,Amerika,अमेरिकी,আমেরিকান
photo,foto,photo,صورة,φωτογραφία,Foto,foto,foto,фото,照片,写真,foto,तस्वीर,ফটো
game,juego,jeu,لعبة,παιχνίδι,Spiel,gioco,jogo,игра,游戏,ゲーム,permainan,खेल,খেলা
members,miembros,membres,أعضاء,μέλη,Mitglieder,membri,membros,члены,会员,メンバー,anggota,सदस्यों,সদস্যদের
power,fuerza,pouvoir,قوة,εξουσία,Leistung,energia,poder,власть,力量,力,kekuatan,शक्ति,ক্ষমতা
while,mientras,alors que,بينما,ενώ,während,Mentre,enquanto,пока,尽管,その間,ketika,जबकि,যখন
care,cuidado,soins,رعاية,φροντίδα,Pflege,cura,cuidado,забота,关心,ケア,peduli,देखभाल,যত্ন
network,red,réseau,شبكة,δίκτυο,Netzwerk,rete,rede,сеть,网络,ネットワーク,jaringan,नेटवर्क,নেটওয়ার্ক
down,abajo,vers le bas,تحت,κάτω,runter,giù,abaixo,вниз,向下,下,turun,नीचे,নিচে
computer,computadora,ordinateur,حاسوب,ηλεκτρονικός υπολογιστής,Computer,computer,computador,компьютер,电脑,コンピューター,komputer,कंप्यूटर,কম্পিউটার
systems,sistemas,systèmes,أنظمة,συστήματα,Systeme,sistemi,sistemas,системы,系统,システム,sistem,प्रणाली,সিস্টেম
three,tres,trois,ثلاثة,τρία,drei,tre,três,три,三,三つ,tiga,तीन,তিন
total,total,total,المجموع,σύνολο,gesamt,totale,total,общий,全部的,合計,total,कुल,মোট
place,lugar,lieu,مكان,θέση,Ort,posto,lugar,место,地方,場所,tempat,जगह,স্থান
end,fin,fin,نهاية,τέλος,Ende,FINE,fim,конец,结尾,終わり,akhir,अंत,শেষ
following,siguiente,suivant,التالي,εξής,folgende,seguente,seguindo,следующий,下列的,続く,mengikuti,अगले,অনুসরণ
download,descargar,télécharger,تحميل,λήψη,herunterladen,scaricamento,download,скачать,下载,ダウンロード,unduh,डाउनलोड करना,ডাউনলোড
h,h,h,ح,η,H,H,h,час,小时,h,H,एच,জ
him,a él,lui,له,αυτόν,ihn,lui,ele,ему,他,彼,dia,उसे,তাকে
without,sin,sans,بدون,χωρίς,ohne,senza,sem,без,没有,それなし,tanpa,बिना,ছাড়া
per,por,par,لكل,ανά,pro,per,por,за,每,あたり,per,प्रति,প্রতি
access,acceso,accéder,وصول,πρόσβαση,Zugang,accesso,acesso,доступ,使用权,アクセス,mengakses,पहुँच,অ্যাক্সেস
think,pensar,pense,يفكر,νομίζω,denken,pensare,pensar,думать,思考,考える,memikirkan,सोचना,মনে
north,norte,nord,شمال,βόρειος,Norden,nord,norte,север,北,北,utara,उत्तर,উত্তর
resources,recursos,ressources,موارد,πόροι,Ressourcen,risorse,recursos,ресурсы,资源,リソース,sumber daya,संसाधन,সম্পদ
current,actual,actuel,حاضِر,ρεύμα,aktuell,attuale,atual,текущий,当前的,現在,saat ini,मौजूदा,বর্তমান
posts,publicaciones,messages,دعامات,αναρτήσεις,Beiträge,post,postagens,посты,帖子,投稿,posting,पदों,পোস্ট
big,grande,grand,كبير,μεγάλος,groß,grande,grande,большой,大的,大きい,besar,बड़ा,বড়
media,medios de comunicación,médias,وسائط,μέσα ενημέρωσης,Medien,media,mídia,СМИ,媒体,メディア,media,मिडिया,মিডিয়া
law,ley,loi,قانون,νόμος,Gesetz,legge,lei,закон,法律,法,hukum,कानून,আইন
control,control,contrôle,يتحكم,έλεγχος,Kontrolle,controllare,controlar,контроль,控制,コントロール,kontrol,नियंत्रण,নিয়ন্ত্রণ
water,agua,eau,ماء,νερό,Wasser,acqua,água,вода,水,水,air,पानी,জল
history,historia,histoire,تاريخ,ιστορία,Geschichte,storia,história,история,历史,歴史,sejarah,इतिहास,ইতিহাস
pictures,fotos,des photos,صور,εικόνες,Bilder,immagini,fotos,картинки,图片,写真,gambar,चित्र,ছবি
size,tamaño,taille,مقاس,μέγεθος,Größe,misurare,tamanho,размер,尺寸,サイズ,ukuran,आकार,আকার
art,arte,art,فن,τέχνη,Kunst,arte,arte,искусство,艺术,美術,seni,कला,শিল্প
personal,personal,personnel,شخصي,προσωπικός,persönlich,personale,pessoal,личный,个人的,個人的,pribadi,निजी,ব্যক্তিগত
since,desde,depuis,منذ,από,seit,Da,desde,с,自从,以来,sejak,तब से,থেকে
including,incluido,y compris,مشتمل,συμπεριλαμβανομένου,einschließlich,compreso,incluindo,включая,包括,含む,termasuk,शामिल,সহ
guide,guía,guide,مرشد,οδηγός,Führung,guida,guia,гид,指导,ガイド,memandu,मार्गदर्शक,গাইড
shop,comercio,boutique,محل,κατάστημα,Geschäft,negozio,comprar,магазин,店铺,店,toko,दुकान,দোকান
directory,directorio,annuaire,دليل,τηλεφωνικός κατάλογος,Verzeichnis,directory,diretório,каталог,目录,ディレクトリ,direktori,निर्देशिका,ডিরেক্টরি
board,junta,conseil,سبورة,επιτροπή,Planke,asse,quadro,доска,木板,ボード,papan,तख़्ता,বোর্ড
location,ubicación,emplacement,موقع,τοποθεσία,Standort,posizione,localização,расположение,地点,位置,lokasi,जगह,অবস্থান
change,cambiar,changement,يتغير,αλλαγή,ändern,modifica,mudar,изменять,改变,変化,mengubah,परिवर्तन,পরিবর্তন
white,blanco,blanc,أبيض,λευκό,Weiß,bianco,branco,белый,白色的,白,putih,सफ़ेद,সাদা
text,texto,texte,نص,κείμενο,Text,testo,texto,текст,文本,文章,teks,मूलपाठ,পাঠ্য
after,después,après,بعد,μετά,nach,Dopo,depois,после,后,後,setelah,बाद,পরে
rating,clasificación,notation,تصنيف,εκτίμηση,Bewertung,valutazione,avaliação,рейтинг,等级,評価,peringkat,रेटिंग,রেটিং
rate,tasa,taux,معدل,τιμή,Rate,valutare,avaliar,ставка,速度,レート,kecepatan,दर,হার
government,gobierno,gouvernement,حكومة,κυβέρνηση,Regierung,governo,governo,правительство,政府,政府,pemerintah,सरकार,সরকার
children,niños,enfants,أطفال,παιδιά,Kinder,bambini,crianças,дети,孩子们,子供たち,anak-anak,बच्चे,শিশুদের
during,durante,pendant,خلال,κατά την διάρκεια,während,durante,durante,в течение,期间,その間,selama,दौरान,সময়
usa,EE.UU,USA,الولايات المتحدة الأمريكية,ΗΠΑ,USA,U.S.A,EUA,США,美国,アメリカ合衆国,Amerika Serikat,यूएसए,ইউএসএ
return,devolver,retour,يعود,απόδοση,zurückkehren,ritorno,retornar,возвращаться,返回,戻る,kembali,वापस करना,ফিরে
students,estudiantes,étudiants,طلاب,φοιτητόκοσμος,Studenten,studenti,estudantes,студенты,学生,学生,siswa,छात्र,ছাত্রদের
v,v,v,ضد,v,v,v,v,в,v,v,ay,वी,v
shopping,compras,achats,التسوق,ψώνια,Einkaufen,shopping,compras,шопинг,购物,買い物,belanja,खरीदारी,কেনাকাটা
account,cuenta,compte,حساب,λογαριασμός,Konto,account,conta,счет,帐户,アカウント,akun,खाता,অ্যাকাউন্ট
times,veces,fois,مرات,φορές,mal,volte,vezes,раз,次,回,kali,टाइम्स,বার
sites,sitios,Sites,المواقع,τοποθεσίες,Websites,siti,sites,сайты,站点,サイト,situs,साइटों,সাইট
level,nivel,niveau,مستوى,επίπεδο,Ebene,livello,nível,уровень,等级,レベル,tingkat,स्तर,স্তর
digital,digital,numérique,رقمي,ψηφιακό,digital,digitale,digital,цифровой,数字的,デジタル,digital,डिजिटल,ডিজিটাল
profile,perfil,profil,حساب تعريفي,προφίλ,Profil,profilo,perfil,профиль,轮廓,プロフィール,profil,प्रोफ़ाइल,প্রোফাইল
previous,anterior,précédent,سابق,προηγούμενος,vorherige,precedente,anterior,предыдущий,以前的,前の,sebelumnya,पहले का,পূর্ববর্তী
form,forma,formulaire,استمارة,μορφή,bilden,modulo,forma,форма,形式,形状,membentuk,रूप,ফর্ম
events,eventos,événements,الأحداث,εκδηλώσεις,Ereignisse,eventi,eventos,события,事件,イベント,acara,घटनाएँ,ঘটনা
love,amar,amour,حب,αγάπη,Liebe,Amore,amor,любовь,爱,愛,Cinta,प्यार,প্রেম
old,viejo,vieux,قديم,παλιός,alt,vecchio,velho,старый,老的,古い,tua,पुराना,পুরাতন
john,John,John,جون,Γιάννης,John,Giovanni,John,Джон,约翰,ジョン,Yohanes,जॉन,জন
main,principal,principal,رئيسي,κύριος,hauptsächlich,principale,principal,основной,主要的,主要,utama,मुख्य,প্রধান
call,llamar,appel,يتصل,κλήση,Anruf,chiamata,chamar,вызов,称呼,電話,panggilan,पुकारना,কল
hours,horas,heures,ساعات,ώρες,Std.,ore,horas,часы,小时,時間,jam,घंटे,ঘন্টা
image,imagen,image,صورة,εικών,Bild,immagine,imagem,изображение,图像,画像,gambar,छवि,ইমেজ
department,departamento,département,قسم,τμήμα,Abteilung,dipartimento,departamento,отделение,部门,部門,departemen,विभाग,বিভাগ
title,título,titre,عنوان,τίτλος,Titel,titolo,título,заголовок,标题,タイトル,judul,शीर्षक,শিরোনাম
description,descripción,description,وصف,περιγραφή,Beschreibung,descrizione,descrição,описание,描述,説明,keterangan,विवरण,বর্ণনা
non,no,non,غير,μη,nicht,non,não,нет,非,非,non,गैर,অ
k,k,k,ك,κ,k,k,k,к,k,k,k,के,k
y,y,oui,ذ,y,j,sì,sim,й,y,y,kamu,य,y
insurance,seguro,assurance,تأمين,ασφάλιση,Versicherung,assicurazione,seguro,страхование,保险,保険,asuransi,बीमा,বীমা
another,otro,un autre,آخر,άλλος,ein anderer,un altro,outro,другой,其他,別の,lain,एक और,অন্য
why,por qué,pourquoi,لماذا,Γιατί,Warum,Perché,por que,почему,为什么,なぜ,Mengapa,क्यों,কেন
shall,deber,devoir,سوف,θα,soll,deve,podemos,должен,将,するだろう,sebaiknya,करेगा,হবে
property,propiedad,propriété,ملكية,ιδιοκτησία,Eigentum,proprietà,propriedade,свойство,财产,財産,milik,संपत्ति,সম্পত্তি
class,clase,classe,فصل,τάξη,Klasse,classe,aula,сорт,班级,クラス,kelas,कक्षा,ক্লাস
cd,cd,CD,قرص مضغوط,CD,CD,CD,cd,компакт-диск,光盘,CD,CD,सीडी,সিডি
still,aún,toujours,ما زال,ακόμη,Trotzdem,Ancora,ainda,все еще,仍然,まだ,tetap,फिर भी,এখনও
money,dinero,argent,مال,χρήματα,Geld,soldi,dinheiro,деньги,钱,お金,uang,धन,টাকা
quality,calidad,qualité,جودة,ποιότητα,Qualität,qualità,qualidade,качество,质量,品質,kualitas,गुणवत्ता,গুণমান
every,cada,chaque,كل,κάθε,jeder,ogni,todo,каждый,每一个,毎,setiap,प्रत्येक,প্রতিটি
listing,listado,inscription,قائمة,καταχώριση,Auflistung,elenco,listagem,листинг,上市,リストアップ,daftar,प्रविष्टि,তালিকা
content,contenido,contenu,محتوى,περιεχόμενο,Inhalt,contenuto,contente,содержание,内容,コンテンツ,isi,सामग्री,বিষয়বস্তু
country,país,pays,دولة,χώρα,Land,Paese,país,страна,国家,国,negara,देश,দেশ
private,privado,privé,خاص,ιδιωτικός,Privat,privato,privado,частный,私人的,プライベート,pribadi,निजी,ব্যক্তিগত
little,pequeño,petit,قليل,λίγο,wenig,poco,pequeno,маленький,小的,少し,kecil,थोड़ा,সামান্য
visit,visita,visite,يزور,επίσκεψη,besuchen,visita,visita,посещать,访问,訪問,mengunjungi,मिलने जाना,পরিদর্শন
life,vida,vie,حياة,ζωή,Leben,vita,vida,жизнь,生活,人生,kehidupan,ज़िंदगी,জীবন
tools,herramientas,outils,أدوات,εργαλεία,Werkzeuge,utensili,ferramentas,инструменты,工具,ツール,peralatan,औजार,টুলস
low,bajo,faible,قليل,χαμηλός,niedrig,Basso,baixo,низкий,低的,低い,rendah,कम,কম
reply,responder,répondre,رد,απάντηση,Antwort,rispondere,responder,отвечать,回复,返事,membalas,जवाब,উত্তর
customer,cliente,client,عميل,πελάτης,Kunde,cliente,cliente,клиент,顾客,お客様,pelanggan,ग्राहक,গ্রাহক
december,diciembre,décembre,ديسمبر,Δεκέμβριος,Dezember,dicembre,dezembro,декабрь,十二月,12月,Desember,दिसंबर,ডিসেম্বর
compare,comparar,comparer,يقارن,συγκρίνω,vergleichen,confrontare,comparar,сравнивать,比较,比較する,membandingkan,तुलना करना,তুলনা
movies,cine,films,أفلام,κινηματογράφος,Filme,film,filmes,фильмы,电影,映画,film,फिल्में,চলচ্চিত্র
include,incluir,inclure,يشمل,συμπεριλαμβάνω,enthalten,includere,incluir,включать,包括,含む,termasuk,शामिल करना,অন্তর্ভুক্ত
college,colega,collège,كلية,κολλέγιο,Hochschule,college,faculdade,колледж,大学,カレッジ,kampus,कॉलेज,কলেজ
value,valor,valeur,قيمة,αξία,Wert,valore,valor,ценить,价值,価値,nilai,कीमत,মান
article,artículo,article,شرط,άρθρο,Artikel,articolo,artigo,статья,文章,記事,artikel,लेख,নিবন্ধ
york,york,York,نيويورك,υόρκη,York,York,Iorque,Йорк,约克,ヨーク,york,न्यूयार्क,ইয়র্ক
man,hombre,homme,رجل,άνθρωπος,Mann,Uomo,homem,мужчина,男人,男,pria,आदमी,মানুষ
card,tarjeta,carte,بطاقة,κάρτα,Karte,carta,cartão,карта,卡片,カード,kartu,कार्ड,কার্ড
jobs,empleos,emplois,وظائف,θέσεις εργασίας,Arbeitsplätze,posti di lavoro,empregos,рабочие места,职位,仕事,pekerjaan,नौकरियाँ,চাকরি
provide,proporcionar,fournir,يمد,προμηθεύω,bieten,fornire,fornecer,предоставлять,提供,提供する,menyediakan,उपलब्ध करवाना,প্রদান
j,j,j,ي,ι,J,J,j,дж,j,j,J,जे,j
food,alimento,nourriture,طعام,τροφή,Essen,cibo,comida,еда,食物,食べ物,makanan,खाना,খাদ্য
source,fuente,source,مصدر,πηγή,Quelle,fonte,fonte,источник,来源,ソース,sumber,स्रोत,উৎস
author,autor,auteur,مؤلف,συγγραφέας,Autor,autore,autor,автор,作者,著者,pengarang,लेखक,লেখক
different,diferente,différent,مختلف,διαφορετικός,anders,diverso,diferente,другой,不同的,違う,berbeda,अलग,ভিন্ন
press,prensa,presse,يضعط,τύπος,drücken,premere,imprensa,нажимать,按,プレス,tekan,प्रेस,প্রেস
u,tu,toi,ش,u,u,tu,você,ты,你,あなた,kamu,यू,u
learn,aprender,apprendre,يتعلم,μαθαίνω,lernen,Imparare,aprender,учиться,学习,学ぶ,mempelajari,सीखना,শিখতে
sale,venta,vente,أُوكَازيُون,πώληση,Verkauf,vendita,oferta,распродажа,销售,販売,penjualan,बिक्री,বিক্রয়
around,alrededor,autour,حول,γύρω,um,in giro,em volta,вокруг,大约,その周り,sekitar,आस-पास,চারপাশে
print,imprimir,imprimer,مطبعة,αποτύπωμα,drucken,stampa,imprimir,распечатать,打印,印刷する,mencetak,छपाई,মুদ্রণ
course,curso,cours,دورة,πορεία,Kurs,corso,curso,курс,课程,コース,kursus,अवधि,অবশ্যই
job,trabajo,emploi,وظيفة,δουλειά,Arbeit,lavoro,trabalho,работа,工作,仕事,pekerjaan,काम,চাকরি
canada,Canadá,Canada,كندا,Καναδάς,Kanada,Canada,Canadá,Канада,加拿大,カナダ,Kanada,कनाडा,কানাডা
process,proceso,processus,عملية,διαδικασία,Verfahren,processo,processo,процесс,过程,プロセス,proses,प्रक्रिया,প্রক্রিয়া
teen,adolescente,l'adolescence,في سن المراهقة,έφηβος,Teenager,adolescente,adolescente,подросток,青少年,ティーン,remaja,किशोर,কিশোর
room,habitación,chambre,غرفة,δωμάτιο,Zimmer,camera,sala,комната,房间,部屋,ruang,कमरा,রুম
stock,existencias,action,مخزون,στοκ,Aktie,azione,estoque,запас,库存,ストック,saham,भंडार,স্টক
training,capacitación,entraînement,تمرين,εκπαίδευση,Ausbildung,formazione,treinamento,обучение,训练,トレーニング,pelatihan,प्रशिक्षण,প্রশিক্ষণ
too,también,aussi,أيضاً,πολύ,zu,pure,também,слишком,也,あまりにも,juga,बहुत,খুব
credit,crédito,crédit,ائتمان,πίστωση,Kredit,credito,crédito,кредит,信用,クレジット,kredit,श्रेय,ক্রেডিট
point,punto,indiquer,نقطة,σημείο,Punkt,punto,apontar,точка,观点,ポイント,titik,बिंदु,বিন্দু
join,unirse,rejoindre,ينضم,ενώνω,verbinden,giuntura,juntar,присоединиться,加入,参加する,bergabung,जोड़ना,যোগদান
science,ciencia,science,علوم,επιστήμη,Wissenschaft,scienza,ciência,наука,科学,科学,sains,विज्ञान,বিজ্ঞান
men,hombres,hommes,الرجال,άνδρες,Männer,uomini,homens,мужчины,男人,男性,laki-laki,पुरुषों,পুরুষদের
categories,categorias,catégories,فئات,κατηγορίες,Kategorien,categorie,categorias,категории,类别,カテゴリ,kategori,श्रेणियाँ,বিভাগ
advanced,avanzado,avancé,متقدم,προχωρημένος,fortschrittlich,avanzato,avançado,передовой,先进的,高度な,canggih,विकसित,উন্নত
west,Oeste,Ouest,الغرب,Δύση,Westen,ovest,oeste,запад,西方,西,Barat,पश्चिम,পশ্চিম
sales,ventas,ventes,مبيعات,εμπορικός,Verkäufe,saldi,vendas,продажи,销售量,販売,penjualan,बिक्री,বিক্রয়
look,mirar,regarder,ينظر,ματιά,sehen,Aspetto,olhar,смотреть,看,見て,Lihat,देखना,তাকান
english,inglés,Anglais,إنجليزي,αγγλικός,Englisch,inglese,inglês,английский,英语,英語,bahasa inggris,अंग्रेज़ी,ইংরেজি
left,izquierda,gauche,غادر,αριστερά,links,Sinistra,esquerda,левый,左边,左,kiri,बाएं,বাম
team,equipo,équipe,فريق,ομάδα,Team,squadra,equipe,команда,团队,チーム,tim,टीम,দল
community,comunidad,communauté,مجتمع,κοινότητα,Gemeinschaft,comunità,comunidade,сообщество,社区,コミュニティ,masyarakat,समुदाय,সম্প্রদায়
box,caja,boîte,صندوق,κουτί,Kasten,scatola,caixa,коробка,盒子,箱,kotak,डिब्बा,বাক্স
conditions,condiciones,conditions,شروط,συνθήκες,Bedingungen,condizioni,condições,условия,状况,条件,kondisi,स्थितियाँ,শর্তাবলী
select,seleccionar,sélectionner,يختار,επιλέγω,wählen,selezionare,selecione,выбирать,选择,選択する,memilih,चुनना,নির্বাচন করুন
windows,ventanas,fenêtres,ويندوز,παράθυρα,Fenster,finestre,Windows,окна,视窗,窓,jendela,विंडोज़,জানালা
photos,fotos,des photos,صور,φωτογραφίες,Fotos,foto,fotos,фотографии,照片,写真,foto,तस्वीरें,ফটো
gay,homosexuales,gay,مثلي الجنس,ομοφυλόφιλος,schwul,gay,homossexual,гей,同性恋,ゲイ,homo,समलैंगिक,সমকামী
thread,hilo,fil,خيط,νήμα,Faden,filo,fio,нить,线,糸,benang,धागा,থ্রেড
week,semana,semaine,أسبوع,εβδομάδα,Woche,settimana,semana,неделя,星期,週,pekan,सप्ताह,সপ্তাহ
category,categoría,catégorie,فئة,κατηγορία,Kategorie,categoria,categoria,категория,类别,カテゴリ,kategori,वर्ग,বিভাগ
note,nota,note,ملحوظة,σημείωμα,Notiz,nota,observação,примечание,笔记,注記,catatan,टिप्पणी,নোট
live,vivir,en direct,يعيش,ζω,live,vivere,ao vivo,жить,居住,ライブ,hidup,रहना,বাস
large,grande,grand,كبير,μεγάλο,groß,grande,grande,большой,大的,大きい,besar,बड़ा,বড়
gallery,galería,galerie,معرض,στοά,Galerie,galleria,galeria,галерея,画廊,ギャラリー,galeri,गैलरी,গ্যালারি
table,mesa,tableau,طاولة,τραπέζι,Tisch,tavolo,mesa,стол,桌子,テーブル,meja,मेज़,টেবিল
register,registro,registre,يسجل,μητρώο,registrieren,registro,registrar,зарегистрироваться,登记,登録する,daftar,पंजीकरण करवाना,নিবন্ধন
however,sin embargo,cependant,لكن,ωστόσο,Jedoch,Tuttavia,no entanto,однако,然而,しかし,Namun,तथापि,যাইহোক
june,junio,juin,يونيو,Ιούνιος,Juni,giugno,junho,июнь,六月,6月,Juni,जून,জুন
october,octubre,octobre,أكتوبر,Οκτώβριος,Oktober,ottobre,outubro,октябрь,十月,10月,Oktober,अक्टूबर,অক্টোবর
november,noviembre,novembre,نوفمبر,Νοέμβριος,November,novembre,novembro,ноябрь,十一月,11月,November,नवंबर,নভেম্বর
market,mercado,marché,سوق,αγορά,Markt,mercato,mercado,рынок,市场,市場,pasar,बाज़ार,বাজার
library,biblioteca,bibliothèque,مكتبة,βιβλιοθήκη,Bibliothek,biblioteca,biblioteca,библиотека,图书馆,図書館,perpustakaan,पुस्तकालय,লাইব্রেরি
really,en realidad,vraiment,حقًا,πραγματικά,Wirklich,Veramente,realmente,Действительно,真的,本当に,Sungguh,वास्तव में,সত্যিই
action,acción,action,فعل,δράση,Aktion,azione,Ação,действие,行动,アクション,tindakan,कार्रवाई,কর্ম
start,comenzar,commencer,يبدأ,αρχή,Start,inizio,começar,начинать,开始,始める,awal,शुरू,শুরু
series,serie,série,مسلسل,σειρά,Serie,serie,série,ряд,系列,シリーズ,seri,शृंखला,সিরিজ
model,modelo,modèle,نموذج,μοντέλο,Modell,modello,modelo,модель,模型,モデル,model,नमूना,মডেল
features,características,caractéristiques,سمات,χαρακτηριστικά,Merkmale,caratteristiche,características,функции,特征,特徴,fitur,विशेषताएँ,বৈশিষ্ট্য
air,aire,air,هواء,αέρας,Luft,aria,ar,воздух,空气,空気,udara,वायु,বায়ু
industry,industria,industrie,صناعة,βιομηχανία,Industrie,industria,indústria,промышленность,行业,業界,industri,उद्योग,শিল্প
plan,plan,plan,يخطط,σχέδιο,planen,piano,plano,план,计划,プラン,rencana,योजना,পরিকল্পনা
human,humano,humain,بشر,ανθρώπινος,menschlich,umano,humano,человек,人类,人間,manusia,इंसान,মানব
provided,proporcionó,fourni,متاح,παρέχεται,bereitgestellt,fornito,oferecido,предоставил,假如,提供された,asalkan,प्रदान किया,প্রদান করা হয়
tv,televisor,TV,تلفزيون,τηλεόραση,Fernseher,TV,TV,телевизор,电视,テレビ,televisi,टीवी,টিভি
yes,Sí,Oui,نعم,Ναί,Ja,SÌ,sim,да,是的,はい,Ya,हाँ,হ্যাঁ
required,requerido,requis,مطلوب,υποχρεούμαι,erforderlich,necessario,obrigatório,необходимый,必需的,必須,diperlukan,आवश्यक,প্রয়োজনীয়
second,segundo,deuxième,ثانية,δεύτερος,zweite,secondo,segundo,второй,第二,2番,Kedua,दूसरा,দ্বিতীয়
